id,name,category,inStock,baseline,unitCost,vendor,location,container,buyUrl,onshapeUrl,description,hasPhoto,drawingCount
bfec0779-7fa2-4d57-9643-8a94d2f79c7a,1/2in Hex Flap Wheel,,8,8,0,REV Robotics,Main Storage Room,STARS,,,,,0
3df93b4b-9269-430f-9131-12af6583d05b,104T HTD 5 Belt,,4,4,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
19ba650b-cd27-4067-ac88-640297f80e85,105T HTD 5 Belt,,2,2,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
3263ffcb-211d-478b-bccf-4bab5938f22f,110T GT2-3MM Belt,,2,2,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
2e213c08-6013-40b3-a2b7-07d0bff2fe1f,110T HTD5 Belt,,11,12,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
3f0fa0ea-544c-4d0a-aff7-f43aa3504ded,115T HTD5 Belt,,3,3,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
a9151a3d-f97d-41c3-b423-6f1a7ef21862,120T HTD 5 Belt,,5,5,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
ab5304ab-d659-40cf-bf8c-fec336280e02,125T GT2-3MM Belt,,1,1,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
27474c51-d252-4b4a-9ed6-c96fef68e42a,125T HTD5 Belt,,5,5,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
077ce1d9-4f7e-4bb5-aa3e-56960d45b82c,125T x 9MM GT2 3MM Belt,,1,0,0,West Coast Products,Main Storage Room,Belts more than 100T,,,,,0
10d1acc7-3c9b-480b-a571-fbb558113952,12T 20DP Neo Motor Pinion Gear,,13,13,0,,Main Storage Room,Gears,,,,,0
4d9984fc-4c61-4153-ad3f-dceb926bea5e,131T HTD 5 15mm Belt,,3,3,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
a710a6d6-b05b-4ee6-b2e0-79c44f11d2ed,131T HTD 5 Belt,,1,1,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
29967549-6e43-4cb4-b1c6-6cb3b53e12a8,14T 20DP Neo Pinion Gear,,5,5,0,,Main Storage Room,Gears,,,,,0
3790c004-3ccc-4cc4-a753-c3aa267b29e1,150T HTD5 Belt,,6,6,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
62bd7bae-66e5-4a84-9d44-982930356500,"15T 20DP x 3/4"" Gear",,3,3,0,,Main Storage Room,Gears,,,,,0
ea50a4aa-ea61-4fd5-9612-bb1d809be6cb,165T HTD5 Belt,,5,5,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
4a2b5f5d-d5bc-4a97-954e-e69253585717,170T HTD5 Belt,,3,3,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
05737efc-5afd-4d43-9e77-93253f968184,180T HTD5 Belt,,1,1,0,Aliexpress,Main Storage Room,Belts more than 100T,,,,,0
0d85c330-2419-4cfb-b0e7-8685981a6122,180T x 9MM GT2 3MM Belt,,6,6,0,West Coast Products,Main Storage Room,Belts more than 100T,,,,,0
6b80ace4-cc20-4bec-ae20-64c2bd43111e,19T 20DP Gear,,5,5,0,,Main Storage Room,Gears,,,,,0
a5146cbf-6a77-4413-b675-c0f757672ecf,"2""x0.5"" 60A Compliant Wheel Hex Insert",,11,11,0,,Main Storage Room,"Compliant wheels 3"" or less",,,,yes,0
3bdc8a3f-ed37-4b99-810c-22f0fee0e82f,"2""x1"" 40A Stealth Wheel",,8,8,0,Studica,Main Storage Room,"Compliant wheels 3"" or less",,,,yes,0
7fb1af95-a9a6-4b09-9e29-fcea19a74f0b,"2""x1"" 50A Stealth Wheel Hex Insert",,5,5,0,,Main Storage Room,"Compliant wheels 3"" or less",,,,yes,0
6527ebd2-fd38-44f0-b42c-4d8ef185c704,"2""x7/8"" 30A Stealth Wheel Hex Insert",,2,2,0,Banebots,,,,,,yes,0
77ede2a9-460c-458c-a5e3-bb9e78f5765a,"2""x7/8"" 40A Stealth Wheel Hex Insert",,2,2,0,Banebots,Main Storage Room,"Compliant wheels 3"" or less",,,,yes,0
afbba34b-2de3-4f04-9543-7c1894249ff5,"2""x7/8"" 60A Stealth Wheel Hex Insert",,1,1,0,Banebots,Main Storage Room,"Compliant wheels 3"" or less",,,,yes,0
5fb42eed-8bf9-4990-8eaf-c470c54f5aa1,"2.5""x1"" 40A Compliant Wheel Hex Insert",,9,9,0,AndyMark,,,,,,yes,0
