partNumber,partName,subsystem,subsystemCode,status,material,machine,inStock,baseline,unitCost,comments
000-001,,2026 Offseason Robot,,released,"1/4"" Aluminum - Sheet",CNC Router,,,,
000-002,,2026 Offseason Robot,,manufactured,2x2 Aluminum Boxtube,CNC Router,,,,
000-003,,2026 Offseason Robot,,manufactured,"1/2"" Aluminum - Hex",Lathe,,,,
000-004,,2026 Offseason Robot,,manufactured,1x2 Aluminum Boxtube,CNC Router,,,,
000-005,,2026 Offseason Robot,,released,"1/4"" Aluminum - Sheet",CNC Router,,,,
000-006,,2026 Offseason Robot,,released,"1/4"" Aluminum - Sheet",CNC Router,,,,
000-007,,2026 Offseason Robot,,released,1x1 Aluminum Boxtube,CNC Router,,,,
000-008,,2026 Offseason Robot,,manufactured,"3/8"" Aluminum Rod",Lathe,,,,
000-009,,2026 Offseason Robot,,manufactured,1x2 Aluminum Boxtube,Manual Mill,,,,
000-013,,2026 Offseason Robot,,released,"1/8"" Aluminum - Sheet",CNC Router,,,,
000-014,,2026 Offseason Robot,,released,"1/8"" Aluminum - Sheet",CNC Router,,,,
000-015,,2026 Offseason Robot,,released,"1/8"" Aluminum - Sheet",CNC Router,,,,
001-001,,2026 Offseason Robot,,manufactured,1x2 Aluminum Boxtube,CNC Router,,,,
001-002,,2026 Offseason Robot,,manufactured,1x2 Aluminum Boxtube,CNC Router,,,,
001-003,,2026 Offseason Robot,,manufactured,1x2 Aluminum Boxtube,CNC Router,,,,
001-004,,2026 Offseason Robot,,released,"1/8"" Aluminum - Sheet",CNC Router,,,,
001-005,,2026 Offseason Robot,,released,"3/8"" Aluminum Rod",Lathe,,,,
001-006,,2026 Offseason Robot,,released,"1/4"" Aluminum - Sheet",CNC Router,,,,
002-001,,2026 Offseason Robot,,manufactured,1x2 Aluminum Boxtube,CNC Router,,,,
002-002,,2026 Offseason Robot,,manufactured,1x2 Aluminum Boxtube,CNC Router,,,,
002-003,,2026 Offseason Robot,,released,"1/2"" Aluminum - Hex",Lathe,,,,
002-004,,2026 Offseason Robot,,manufactured,1x2 Aluminum Boxtube,Manual Mill,,,,
1/2-001,,2026 Offseason Robot,,released,"1/8"" Aluminum - Sheet",CNC Router,,,,
100-002,,,,assembled,1x2 Aluminum Boxtube,CNC Router,,,,
100-003,,,,assembled,1x2 Aluminum Boxtube,CNC Router,,,,
100-004,,,,assembled,1x2 Aluminum Boxtube,CNC Router,,,,
100-005,,,,assembled,1x2 Aluminum Boxtube,CNC Router,,,,
100-006,,,,assembled,1x2 Aluminum Boxtube,CNC Router,,,,
100-007,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
